date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:40	6084/6084	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2002%20Aug%202018%2006:31:41%20GMT	http://kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.migration.min.js	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.migration.min.js	(from http://kamleshyadav.com/html/catering/catering-default/index-2.html)
09:31:42	4191/4191	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2002%20Aug%202018%2006:31:42%20GMT	http://kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.parallax.min.js	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.parallax.min.js	(from http://kamleshyadav.com/html/catering/catering-default/index-2.html)
09:31:42	22795/22795	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2002%20Aug%202018%2006:31:42%20GMT	http://kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.navigation.min.js	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.navigation.min.js	(from http://kamleshyadav.com/html/catering/catering-default/index-2.html)
09:31:44	17315/17315	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2002%20Aug%202018%2006:31:44%20GMT	http://kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.video.min.js	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.video.min.js	(from http://kamleshyadav.com/html/catering/catering-default/index-2.html)
09:31:44	23270/23270	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2002%20Aug%202018%2006:31:44%20GMT	http://kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.slideanims.min.js	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/js/plugins/revolution/js/extensions/revolution.extension.slideanims.min.js	(from http://kamleshyadav.com/html/catering/catering-default/index-2.html)
09:31:45	1581/1581	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:31:47%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/icons/mobile.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/icons/mobile.png	(from http://kamleshyadav.com/html/catering/catering-default/index-5.html)
09:31:46	12652/12652	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:31:46%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/menu_bg.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/menu_bg.jpg	(from http://kamleshyadav.com/html/catering/catering-default/index-3.html)
09:31:50	189680/189680	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:31:27%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/slider/slider-chef.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/slider/slider-chef.png	(from http://kamleshyadav.com/html/catering/catering-default/index-2.html)
09:31:54	43857/43857	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:31:49%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/hand1.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/hand1.png	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:31:57	19160/19160	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:31:56%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/staff1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/staff1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:31:59	47357/47357	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:31:53%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/about.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/about.jpg	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:32:02	16326/16326	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:01%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/staff2.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/staff2.jpg	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:32:05	286088/286088	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:31:27%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/slider/banner2.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/slider/banner2.jpg	(from http://kamleshyadav.com/html/catering/catering-default/index-2.html)
09:32:05	15511/15511	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:05%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/staff3.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/staff3.jpg	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:32:07	1374/1374	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Aug%202018%2006:32:08%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/quote.png	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/quote.png	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
09:32:07	63324/63324	---M--	200	added ('OK')	image/jpeg	date:Thu,%2002%20Aug%202018%2006:32:00%20GMT	http://kamleshyadav.com/html/catering/catering-default/images/about/big_cook1.jpg	F:/Templates/Catering/kamleshyadav.com/html/catering/catering-default/images/about/big_cook1.jpg	(from http://kamleshyadav.com/html/catering/catering-default/about-us.html)
